id,identifier,species_id,height,weight,base_experience,order,is_default,identifier_jap,identifier_jap,type_jap
1,bulbasaur,1,7,69,64,1,1,1,フシギダネ,怪獣植物
2,ivysaur,2,10,130,142,2,1,2,フシギソウ,怪獣植物
3,venusaur,3,20,1000,236,3,1,3,フシギバナ,怪獣植物
4,charmander,4,6,85,62,5,1,4,ヒトカゲ,怪獣ドラゴン
5,charmeleon,5,11,190,142,6,1,5,リザード,怪獣ドラゴン
6,charizard,6,17,905,240,7,1,6,リザードン,怪獣ドラゴン
7,squirtle,7,5,90,63,10,1,7,ゼニガメ,怪獣水中1
8,wartortle,8,10,225,142,11,1,8,カメール,怪獣水中1
9,blastoise,9,16,855,239,12,1,9,カメックス,怪獣水中1
10,caterpie,10,3,29,39,14,1,10,キャタピー,虫
11,metapod,11,7,99,72,15,1,11,トランセル,虫
12,butterfree,12,11,320,173,16,1,12,バタフリー,虫
13,weedle,13,3,32,39,17,1,13,ビードル,虫
14,kakuna,14,6,100,72,18,1,14,コクーン,虫
15,beedrill,15,10,295,173,19,1,15,スピアー,虫
16,pidgey,16,3,18,50,20,1,16,ポッポ,飛行
17,pidgeotto,17,11,300,122,21,1,17,ピジョン,飛行
18,pidgeot,18,15,395,211,22,1,18,ピジョット,飛行
19,rattata,19,3,35,51,23,1,19,コラッタ,陸上
20,raticate,20,7,185,145,24,1,20,ラッタ,陸上
21,spearow,21,3,20,52,25,1,21,オニスズメ,飛行
22,fearow,22,12,380,155,26,1,22,オニドリル,飛行
23,ekans,23,20,69,58,27,1,23,アーボ,陸上ドラゴン
24,arbok,24,35,650,153,28,1,24,アーボック,陸上ドラゴン
25,pikachu,25,4,60,105,30,1,25,ピカチュウ,陸上妖精
26,raichu,26,8,300,214,31,1,26,ライチュウ,陸上妖精
27,sandshrew,27,6,120,60,32,1,27,サンド,陸上
28,sandslash,28,10,295,158,33,1,28,サンドパン,陸上
29,nidoran-f,29,4,70,55,34,1,29,ニドラン♀,怪獣陸上
30,nidorina,30,8,200,128,35,1,30,ニドリーナ,未発見
31,nidoqueen,31,13,600,223,36,1,31,ニドクイン,未発見
32,nidoran-m,32,5,90,55,37,1,32,ニドラン♂,怪獣陸上
33,nidorino,33,9,195,128,38,1,33,ニドリーノ,怪獣陸上
34,nidoking,34,14,620,223,39,1,34,ニドキング,怪獣陸上
35,clefairy,35,6,75,113,41,1,35,ピッピ,妖精
36,clefable,36,13,400,213,42,1,36,ピクシー,妖精
37,vulpix,37,6,99,60,43,1,37,ロコン,陸上
38,ninetales,38,11,199,177,44,1,38,キュウコン,陸上
39,jigglypuff,39,5,55,95,46,1,39,プリン,妖精
40,wigglytuff,40,10,120,191,47,1,40,プクリン,妖精
41,zubat,41,8,75,49,48,1,41,ズバット,飛行
42,golbat,42,16,550,159,49,1,42,ゴルバット,飛行
43,oddish,43,5,54,64,51,1,43,ナゾノクサ,植物
44,gloom,44,8,86,138,52,1,44,クサイハナ,植物
45,vileplume,45,12,186,216,53,1,45,ラフレシア,植物
46,paras,46,3,54,57,55,1,46,パラス,虫植物
47,parasect,47,10,295,142,56,1,47,パラセクト,虫植物
48,venonat,48,10,300,61,57,1,48,コンパン,虫
49,venomoth,49,15,125,158,58,1,49,モルフォン,虫
50,diglett,50,2,8,53,59,1,50,ディグダ,陸上
51,dugtrio,51,7,333,142,60,1,51,ダグトリオ,陸上
52,meowth,52,4,42,58,61,1,52,ニャース,陸上
53,persian,53,10,320,154,62,1,53,ペルシアン,陸上
54,psyduck,54,8,196,64,63,1,54,コダック,水中1陸上
55,golduck,55,17,766,175,64,1,55,ゴルダック,水中1陸上
56,mankey,56,5,280,61,65,1,56,マンキー,陸上
57,primeape,57,10,320,159,66,1,57,オコリザル,陸上
58,growlithe,58,7,190,70,67,1,58,ガーディ,陸上
59,arcanine,59,19,1550,194,68,1,59,ウインディ,陸上
60,poliwag,60,6,124,60,69,1,60,ニョロモ,水中1
61,poliwhirl,61,10,200,135,70,1,61,ニョロゾ,水中1
62,poliwrath,62,13,540,225,71,1,62,ニョロボン,水中1
63,abra,63,9,195,62,73,1,63,ケーシィ,人型
64,kadabra,64,13,565,140,74,1,64,ユンゲラー,人型
65,alakazam,65,15,480,221,75,1,65,フーディン,人型
66,machop,66,8,195,61,77,1,66,ワンリキー,人型
67,machoke,67,15,705,142,78,1,67,ゴーリキー,人型
68,machamp,68,16,1300,227,79,1,68,カイリキー,人型
69,bellsprout,69,7,40,60,80,1,69,マダツボミ,植物
70,weepinbell,70,10,64,137,81,1,70,ウツドン,植物
71,victreebel,71,17,155,216,82,1,71,ウツボット,植物
72,tentacool,72,9,455,67,83,1,72,メノクラゲ,水中3
73,tentacruel,73,16,550,180,84,1,73,ドククラゲ,水中3
74,geodude,74,4,200,60,85,1,74,イシツブテ,鉱物
75,graveler,75,10,1050,137,86,1,75,ゴローン,鉱物
76,golem,76,14,3000,218,87,1,76,ゴローニャ,鉱物
77,ponyta,77,10,300,82,88,1,77,ポニータ,陸上
78,rapidash,78,17,950,175,89,1,78,ギャロップ,陸上
79,slowpoke,79,12,360,63,90,1,79,ヤドン,怪獣水中1
80,slowbro,80,16,785,172,91,1,80,ヤドラン,怪獣水中1
81,magnemite,81,3,60,65,93,1,81,コイル,鉱物
82,magneton,82,10,600,163,94,1,82,レアコイル,鉱物
83,farfetchd,83,8,150,123,96,1,83,カモネギ,飛行陸上
84,doduo,84,14,392,62,97,1,84,ドードー,飛行
85,dodrio,85,18,852,161,98,1,85,ドードリオ,飛行
86,seel,86,11,900,65,99,1,86,パウワウ,水中1陸上
87,dewgong,87,17,1200,166,100,1,87,ジュゴン,水中1陸上
88,grimer,88,9,300,65,101,1,88,ベトベター,不定形
89,muk,89,12,300,175,102,1,89,ベトベトン,不定形
90,shellder,90,3,40,61,103,1,90,シェルダー,水中3
